Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
44722422.710000	2018	111.500000	"con edison"	"siemens energy"
42964556.720000	2017	111.500000	"con edison"	"siemens energy"
24509931.770000	2018	58.750000	"con edison"	"smart grid solutions"
5514503.600000	2016	58.750000	"con edison"	"smart grid solutions"
5514503.600000	2016	58.750000	"con edison"	"smart grid solutions"
10593953.110000	2017	58.750000	"con edison"	"smart grid solutions"
1463456.670000	2016	18.000000	"con edison"	"smart one energy"
746068.730000	2018	18.000000	"con edison"	"smart one energy"
1463456.670000	2016	18.000000	"con edison"	"smart one energy"
932688.690000	2017	18.000000	"con edison"	"smart one energy"
1491695.150000	2017	24.500000	"con edison"	"smartwatt energy"
885772.170000	2018	24.500000	"con edison"	"smartwatt energy"
228318.290000	2016	24.500000	"con edison"	"smartwatt energy"
228318.290000	2016	24.500000	"con edison"	"smartwatt energy"
1583372.220000	2017	147.250000	"con edison"	"smith blair"
227359.370000	2016	147.250000	"con edison"	"smith blair"
227359.370000	2016	147.250000	"con edison"	"smith blair"
2014480.420000	2018	147.250000	"con edison"	"smith blair"
