Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
567754.580000	2018	141938.645000	"marathonpetroleum"	"bw boulder"
1747491.640000	2018	436872.910000	"marathonpetroleum"	"c j mahan construction company"
3050419.000000	2016	15.500000	"marathonpetroleum"	"c j mahan construction company"
1347967.190000	2017	15.500000	"marathonpetroleum"	"c j mahan construction company"
1125509.710000	2015	15.500000	"marathonpetroleum"	"c j mahan construction company"
8858105.050000	2017	668.000000	"marathonpetroleum"	"c2c technical services"
922326.300000	2015	668.000000	"marathonpetroleum"	"c2c technical services"
3137830.130000	2016	668.000000	"marathonpetroleum"	"c2c technical services"
21889879.370000	2018	5472469.842500	"marathonpetroleum"	"c2c technical services"
2039621.970000	2017	53.250000	"marathonpetroleum"	"cadre computer resources co"
2326751.810000	2015	53.250000	"marathonpetroleum"	"cadre computer resources co"
2153397.150000	2016	53.250000	"marathonpetroleum"	"cadre computer resources co"
2874040.000000	2018	718510.000000	"marathonpetroleum"	"cadre computer resources co"
3913119.960000	2015	133.500000	"marathonpetroleum"	"cains pipeline & industrial"
3913119.960000	2015	133.500000	"marathonpetroleum"	"cains pipeline & industrial"
2220216.020000	2017	133.500000	"marathonpetroleum"	"cains pipeline & industrial"
2220216.020000	2017	133.500000	"marathonpetroleum"	"cains pipeline & industrial"
2039174.590000	2018	509793.647500	"marathonpetroleum"	"cains pipeline & industrial"
2039174.590000	2018	509793.647500	"marathonpetroleum"	"cains pipeline & industrial"
4110376.950000	2016	133.500000	"marathonpetroleum"	"cains pipeline & industrial"
4110376.950000	2016	133.500000	"marathonpetroleum"	"cains pipeline & industrial"
12856765.600000	2015	1568.250000	"marathonpetroleum"	"cajun contractors"
16761712.360000	2017	1568.250000	"marathonpetroleum"	"cajun contractors"
57018696.000000	2016	1568.250000	"marathonpetroleum"	"cajun contractors"
4043374.020000	2017	70.250000	"marathonpetroleum"	"cajun industries"
16278916.300000	2018	4069729.075000	"marathonpetroleum"	"cajun industries"
559304.760000	2015	70.250000	"marathonpetroleum"	"cajun industries"
3788548.800000	2016	70.250000	"marathonpetroleum"	"cajun industries"
2323387.770000	2017	447.250000	"marathonpetroleum"	"calgon carbon corp"
2502001.150000	2018	625500.287500	"marathonpetroleum"	"calgon carbon corp"
2802430.240000	2016	447.250000	"marathonpetroleum"	"calgon carbon corp"
2821532.610000	2015	447.250000	"marathonpetroleum"	"calgon carbon corp"
954795.190000	2017	249.750000	"marathonpetroleum"	"cameron"
720250.080000	2018	180062.520000	"marathonpetroleum"	"cameron"
2066803.660000	2015	249.750000	"marathonpetroleum"	"cameron"
3717478.150000	2016	249.750000	"marathonpetroleum"	"cameron"
1599897.730000	2016	1071.250000	"marathonpetroleum"	"camin cargo control"
8217678.450000	2015	1071.250000	"marathonpetroleum"	"camin cargo control"
113401.740000	2017	1071.250000	"marathonpetroleum"	"camin cargo control"
1097360.240000	2016	453.250000	"marathonpetroleum"	"campbell transportation co"
1850490.400000	2017	453.250000	"marathonpetroleum"	"campbell transportation co"
2165701.550000	2018	541425.387500	"marathonpetroleum"	"campbell transportation co"
613292.440000	2015	453.250000	"marathonpetroleum"	"campbell transportation co"
23281036.150000	2015	1967.250000	"marathonpetroleum"	"canal barge co"
14219093.060000	2017	1967.250000	"marathonpetroleum"	"canal barge co"
19236570.030000	2018	4809142.507500	"marathonpetroleum"	"canal barge co"
26293798.830000	2016	1967.250000	"marathonpetroleum"	"canal barge co"
3097111.100000	2017	564.000000	"marathonpetroleum"	"carber holdings"
3460064.670000	2018	865016.167500	"marathonpetroleum"	"carber holdings"
5075986.680000	2016	564.000000	"marathonpetroleum"	"carber holdings"
6376649.170000	2015	564.000000	"marathonpetroleum"	"carber holdings"
1422670.540000	2016	425.500000	"marathonpetroleum"	"carboline company"
1208107.560000	2015	425.500000	"marathonpetroleum"	"carboline company"
